Term,Definitions
Absorption,"Decrease of radiant energy (relative to the background
								continuum spectrum)."
AccessInformation,"Attributes of the resource which pertain to how to
								accessing the resource, availability and storage format."
AccessRights,"Permissions granted or denied by the host of a product to
								allow other users to access and use the resource."
AccessURL,"Attributes of the method for accessing a resource
								including a URL, name and description."
ACElectricField,Alternating electric field component of a wave.
Acknowledgement,"The individual, group or organization which should be
								acknowledged when the data is used in or contributes to a presentation or publication."
ACMagneticField,Alternating magnetic field component of a wave.
Active,"Exerting an influence or producing a change or effect. An
								active measurement is one which produces a transmission or excitation as a part of the
								measurement cycle."
ActiveRegion,"A localized, transient volume of the solar atmosphere in
								which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed."
ActivityIndex,"An indication, derived from one or more measurements, of
								the level of activity of an object or region, such as sunspot number, F10.7 flux, Dst,
								or the Polar Cap Indices."
Address,"Directions for finding some location; written on letters
								or packages that are to be delivered to that location."
AdiabaticInvariant,"A property of a physical system usually related to
								periodic phenomena that remains constant under slowly varying conditions."
Aerosol,A suspension of fine solid or liquid particles in a gas.
Agency,"The name of an organization that provides a service or
								funding for specific projects."
AkasofuEpsilon,"A measure of the magnetopause energy flux and an
								indicator of the solar wind power available for subsequent magnetospheric energization.
								Defined as: V*B^2*l^2sin(theta/2)^4 where B is the IMF, l is an empirical scaling
								parameter equal to 7 RE, and theta = tan(BY /BZ)^-1 the IMF clock angle."
Albedo,"The ratio of reflected radiation from the surface to
								incident radiation upon it."
AlfvenMachNumber,The ratio of the bulk flow speed to the Alfven speed.
AlfvenVelocity,"Phase velocity of the Alfven wave; In SI units it is the
								velocity of the magnetic field divided by the square root of the mass density times the
								permeability of free space (mu)."
AlphaParticle,"A positively charged nuclear particle that consists of
								two protons and two neutrons."
AlternateName,"An alternative or shortened name used to refer to a
								resource. This includes acronyms, expanded names or a synonym for a resource."
Ancillary,"A complementary item which can be subordinate,
								subsidiary, auxiliary, supplementary to the primary item."
Anisotropy,Direction-dependent property.
Annotation,"Information which is explanatory or descriptive which is
								associated with another resource."
AnnotationType,A classification for an annotation.
Anomaly,"An interval where measurements or observations may be
								adversely affected."
Antenna,A sensor used to measure electric potential.
API,"An application programming interface (API) is a form of
								interface that allows applications to access the features or data of an operating
								system, application, or other service. An API may have a required protocol or set of
								principles. Some examples of protocols are SOAP, XML-RPC and JSON-RPC. An example of an
								API with a set of principles is REST."
ApplicationInterface,The type of interface for the application.
ArchiveSpecialist,"An individual who is an expert on a collection of
								resources and may also be knowledgeable of the phenomenon and related physics
								represented by the resources. This includes librarians, curators, archive scientists and
								other experts."
Area,"Integration over the extent of a planar region, or of the
								surface of a solid."
Ariel,The fourth-largest moon of Uranus.
Array,"A sequence of values corresponding to the elements in a
								rectilinear, n-dimension matrix. Each value can be referenced by a unique index."
ArrivalDirection,"An angular measure of the direction from which an
								energetic particle or photon was incident on a detector. The angles may be measured in
								any coordinate system."
ASCII,"A sequence of characters that adheres to American
								Standard Code for Information Interchange (ASCII) which is an 7-bit character-coding
								scheme."
Association,"Attributes of a relationship a resource has with another
								resource."
AssociationID,"The resource identifier for a resource with which this
								resource is closely associated."
